,Total_Return_%,Avg_Daily_Return_%,Volatility_%,Max_Daily_Gain_%,Max_Daily_Loss_%
세종텔레콤,1829.515418502203,1.8813030073718204,29.06376828620173,549.9051233396584,-17.541229385307343
이스트아시아홀딩스,1775.0,6.000185317542255,114.53332242446415,2187.0129870129867,-8.92857142857143
씨어스테크놀로지,1402.8901734104047,0.8126537085682741,3.762516497540998,30.000000000000004,-12.538699690402478
로보티즈,1219.277108433735,0.8357200831388759,5.2206767325835735,30.000000000000004,-11.143695014662757
원익홀딩스,1205.6768558951965,0.8155973827296283,4.860198841346843,29.9931833674165,-10.675381263616558
미래산업,1173.2732732732734,4.557144101512996,88.23434805423831,1684.9624060150377,-19.68019680196802
셀레스트라,1017.0212765957447,3.895700104961872,73.48158280636265,1400.0,-29.352226720647778
큐로홀딩스,919.2660550458716,2.522976533479051,46.345910178100944,881.081081081081,-15.830115830115831
에이디칩스,900.0,2.4657534246575343,47.10815303311923,900.0,0.0
선샤인푸드,900.0,2.4657534246575343,47.10815303311922,900.0,0.0
알파칩스,884.1269841269842,2.721942148477185,51.4224216293973,979.7468354430381,-18.529411764705884
글로본,742.5655976676385,0.9242161004990401,10.777346319093475,181.0902896081772,-29.95983935742972
HJ중공업,679.1095890410959,0.692626965069115,5.253921112768581,30.000000000000004,-11.77700348432056
피씨엘,663.590391908976,4.955110059180268,99.47667039437734,1900.0,-12.698412698412698
씨엑스아이,618.918918918919,2.145010457225626,41.54687034190696,792.1052631578947,-19.565217391304344
삼보산업,616.9811320754717,1.5906863227310137,27.6813924596032,519.7478991596639,-24.51499118165785
메디콕스,576.9911504424779,3.7755484638492605,73.50293248183296,1400.0,-29.761904761904766
플라즈맵,558.8946459412781,2.5720280430298414,49.811512046470206,947.4898236092265,-28.07017543859649
큐리언트,553.5714285714286,0.5778657383954668,3.5959469302797697,16.73662119622246,-7.8414839797639075
올릭스,538.0733944954128,0.6603551579494178,5.684043667185385,29.97118155619596,-17.021276595744684
오션인더블유,533.2378223495703,2.2007417830015155,43.67891146643838,833.3333333333334,-7.7574047954866
수성웹툰,529.4896030245746,2.554363930548178,51.369996143673916,980.7086614173228,-9.333333333333337
포톤,523.4256926952141,1.0194153977292895,15.816561330839276,288.9728096676737,-17.234042553191486
대창솔루션,509.4594594594595,1.371379698642932,25.51867295979442,485.17699115044246,-8.130081300813007
라온시큐어,473.9644970414201,1.1873790640765958,21.852717152295508,415.86063442537704,-7.104247104247108
베셀,460.9302325581395,1.511153782352405,28.910141258384492,549.009900990099,-9.921414538310414
뉴온,451.3513513513513,2.323061494692258,47.02824154831262,897.1428571428571,-9.902475618904727
에이비엘바이오,427.8787878787878,0.5544453995234843,4.601684460967704,29.955947136563886,-12.153518123667373
티엘비,427.66308835673,0.5328136056267597,4.009760487630042,29.97198879551821,-12.225274725274726
에이피알,423.86634844868735,0.5038557518779305,3.207571874889622,28.795811518324598,-10.516252390057357
비트플래닛,414.3344709897611,0.5951009121260754,5.691107295194794,29.983108108108112,-12.793733681462138
웅진,410.3785103785103,0.5101134068892915,3.685054032353152,29.91689750692521,-10.14577259475219
세토피아,400.0,1.095890410958904,20.936956903608547,400.0,0.0
하이젠알앤엠,396.417604912999,0.5759596507205763,5.427410696675584,30.000000000000004,-15.23394994559304
오가닉티코스메틱,391.1764705882353,2.339762633599918,47.13311370180708,897.0588235294118,-19.39102564102564
코오롱모빌리티그룹,385.64356435643566,0.6816829614364996,7.268420813647625,30.000000000000004,-29.274611398963735
인벤티지랩,374.83095416979717,0.5823679967549195,5.761033054274335,30.000000000000004,-14.40329218106996
클로봇,372.08436724565763,0.5238175749932701,4.58481703431185,29.946524064171133,-11.038186157517904
이수페타시스,371.7622080679406,0.5079374090172749,4.139393063468264,28.012519561815342,-13.524590163934425
시큐브,363.7336504161712,1.0497105154904387,20.15991188494955,384.3184559710495,-6.785714285714284
원바이오젠,358.1640942323315,1.0702786620042801,20.73083911269096,395.23809523809524,-7.678244972577697
오로라,357.0093457943925,0.5017091782778532,4.316498364291393,29.95073891625615,-12.5
아센디오,351.2376237623762,2.1489829068271975,42.13285213573779,797.8260869565216,-29.947229551451183
효성중공업,343.169968717414,0.45633630375594997,3.1224410478834277,14.41340782122904,-11.712598425196852
코세스,336.71766342141865,0.4677616854438382,3.5955597443318634,19.487179487179485,-13.428571428571423
제이에스링크,333.24675324675326,0.46235492363061054,3.5054374305463147,18.341708542713576,-10.956521739130432
SAMG엔터,324.13793103448273,0.4976684150321517,4.648461987297428,29.940906106369013,-16.19047619047619
스타코링크,321.32196162046904,2.113463246324728,42.367569159675,803.7037037037036,-27.254098360655743
삼영엠텍,320.42755344418055,0.4727849598208948,4.144399744250501,29.9347471451876,-9.46643717728055
지엔씨에너지,316.77588466579294,0.4877406216071119,4.501806151505544,29.95073891625615,-11.621621621621625
한스바이오메드,312.8571428571429,0.47869243535769884,4.308752274462982,24.32432432432432,-27.252625760088446
HD현대마린엔진,312.48097412480973,0.4396646112059532,3.2156904467479106,15.087040618955516,-10.752688172043012
심텍,312.396694214876,0.46217453728714647,3.9300774989847205,24.010327022375222,-13.247172859450728
드래곤플라이,310.5485232067511,1.0785584402670585,20.776428850705276,391.5611814345992,-24.868123587038436
에이스테크,310.4389086595492,0.7293531990216252,11.94777035538915,216.6904422253923,-10.889774236387783
휴엠앤씨,307.520325203252,0.9356131832450975,18.057921461885392,343.0320150659134,-16.82785299806576
삼현,300.14367816091954,0.48301490582854334,4.713864597089953,29.99327505043712,-12.352941176470589
